Country,Capital
Peru,Lima
Chile,Santiago
Saudi Arabia,Riyadh
Ireland,Dublin
Pakistan,Islamabad
Indonesia,Jakarta
Laos,Vientianne
United Kingdom,London
Brazil,Brasilia
Ecuador,Quito
Mexico,Mexico City
Spain,Madrid
Singapore,Singapore
Afghanistan,Kabul
Thailand,Bangkok
Portugal,Lisbon
North Korea,Pyeongyang
Vietnam,Hanoi
Philippines,Manila
Timor Leste,Dali
Argentina,Buenos Aires
South Korea,Seoul
Russia,Moscow
Sri Lanka,Colombo
India,New Delhi
China,Beijing
Cambodia,Phnom Penh
United States of America,Washington D.C.
Malaysia,Kuala Lumpur
